,first_region,mean_corr,mean_cov_cond_exp,mean_exp_cond_corr,mean_exp_cond_cov,mean_info,mean_shuff_corr,mean_shuff_cov_cond_exp,mean_shuff_exp_cond_corr,mean_shuff_exp_cond_cov,mean_shuff_signal_corr,mean_signal_corr,num_pairs,second_region,std_corr,std_cov_conv_exp,std_exp_cond_corr,std_exp_cond_cov,std_info,std_shuff_corr,std_shuff_cov_cond_exp,std_shuff_exp_cond_corr,std_shuff_exp_cond_cov,std_shuff_signal_corr,std_signal_corr,mouse_name
0,LS,0.0003855464550070756,-2.545364922479116e-06,0.0004549811194323375,7.3039918411946814e-06,8.629207693985697e-06,4.5628429729477904e-05,3.6012799209195886e-10,2.113599568964358e-05,4.2386327135443357e-07,8.50798262648705e-05,0.07454534567712459,3135.0,FrMoCtx,0.003489140007409483,2.5809938016093435e-05,0.0030939191592187346,7.592211071262797e-05,1.9050636538835763e-05,0.001956380888006453,2.0576489353369643e-07,0.0019469149609085245,3.515427343119297e-05,0.0038278240183666407,0.6620074686699032,Krebs
1,LS,0.001293771036912595,1.1755285931445863e-06,0.001269655001743696,1.2071893471731806e-05,1.0795178413531056e-05,-2.074711885498139e-05,-2.651436142920156e-09,-2.270241010027471e-05,-1.4608266554485312e-07,2.5479424148072754e-05,0.02645889552328564,3363.0,CP,0.004014480591946464,1.8279329121601e-05,0.0037919326478058884,5.7347753283499154e-05,2.769805140008472e-05,0.0019539767921050734,1.0609680040776859e-07,0.0019265373874969643,2.1579071876522286e-05,0.0033665416060436513,0.5532991787911017,Krebs
2,LS,0.0011762641235248776,5.34289714951842e-06,0.0010626712569493893,3.076385685382578e-05,1.615103857615449e-05,-4.9224406470568536e-05,4.741115005588135e-09,-2.4165544911107264e-05,-4.7334524358982535e-07,5.96498071001736e-05,-0.015379376513720146,3135.0,MB,0.004516682886068531,5.7935363212233266e-05,0.00423004622811188,0.00015607989902303358,4.2993048724566746e-05,0.00196497263366937,4.062697011799271e-07,0.0019825022856630827,5.9466004819094616e-05,0.003824570461772573,0.6147599712308728,Krebs
3,LS,0.0020859687916283246,6.040250277484285e-06,0.002019414544457631,5.524802879880585e-05,2.8037733838859155e-05,-2.341118023780663e-05,-4.4400751900992225e-09,1.2598651949777176e-06,-5.754102238201051e-07,8.424052527776871e-06,0.014273682867891716,2394.0,SC,0.005987068311677177,9.74668991161237e-05,0.005540064498385039,0.0002346769522471263,7.540845951772485e-05,0.00199401272732322,6.394341511065769e-07,0.001993702101929617,5.099465316730078e-05,0.00363634325972681,0.6284372447359391,Krebs
4,LS,0.0009516214189673806,2.165908682748135e-06,0.0009235827196863092,2.0276975712752557e-05,9.658860879108471e-06,-4.1405524922253325e-07,-7.383309717365279e-09,3.0267470353968342e-05,6.41060039668998e-07,-6.879542028212382e-05,0.01791021719931945,3306.0,V1,0.0036196461647777186,3.684596919199448e-05,0.003322354111552404,9.399310015515788e-05,2.39460855828433e-05,0.0019969101841041236,2.5860062062659297e-07,0.0019459770450250423,3.994810138330399e-05,0.003322547890344898,0.5619356936260658,Krebs
5,LS,0.00131040793263592,6.206801130826633e-06,0.0011694941372287074,3.083269043022532e-05,2.0927308156688492e-05,-2.8982968532087916e-05,-7.242310600193103e-09,1.6594311814706495e-05,1.2813283212241582e-07,-0.00011463170038529029,-0.03782922331658498,3249.0,TH,0.005128934377002209,5.643486855019827e-05,0.004571904575043904,0.00013578924181897466,4.823690375141558e-05,0.001978732871824583,3.146453359194661e-07,0.0019506419697200034,4.5954291293243034e-05,0.003524072434638334,0.6285127021117023,Krebs
6,LS,0.002353987662200797,2.868673590657318e-06,0.002319940480701185,6.110636479974345e-05,2.517102418259947e-05,-4.1558437944960296e-05,5.941766805320219e-09,6.9721758276644995e-06,-2.137807559719017e-07,1.4828729906829662e-05,0.00955391734474309,3249.0,HPF,0.005568307037210425,7.721415172229548e-05,0.004987255951867305,0.0001820749879030017,6.174043065256824e-05,0.0019422057998559057,4.0034643448341715e-07,0.001972402924465222,5.1116304793894106e-05,0.003581406383987189,0.660637222807221,Krebs
7,LS,0.0011697453394102443,4.847036357345556e-06,0.0010773841345428435,2.09937532878891e-05,1.3334380759843818e-05,2.2517291799970117e-05,2.8132435463464847e-09,1.5937439836230934e-05,7.454798263020041e-07,-3.873578505881077e-05,0.002921593169459976,3135.0,SomMoCtx,0.0043101103005589525,5.060477767992737e-05,0.003623684425449706,8.473944314395709e-05,3.0228270772322433e-05,0.0019525169853416716,3.013825849837552e-07,0.001985207367100562,3.4430920187668936e-05,0.0035583321947224565,0.6222624162837588,Krebs
8,FrMoCtx,0.0012859356482951298,-1.188959407551106e-06,0.001313036581325943,1.4409309778137836e-05,1.075615837105864e-05,4.296344592610547e-05,1.794115326533855e-09,-1.8755319621415203e-05,1.7004096435367145e-08,-6.141402488037186e-05,0.09874103330308114,3245.0,CP,0.003987385990576378,1.3938926640648027e-05,0.0038673236758868757,6.126701256299407e-05,2.9127005649560546e-05,0.0019582294213847866,1.0928473400667874e-07,0.0018906529864425078,2.2319456413035398e-05,0.003191225609265604,0.5291414063201302,Krebs
9,FrMoCtx,0.00636042020430921,-4.27180376658241e-06,0.0065080192990952255,0.0002373769346317458,8.286919504043515e-05,-5.3806083776997085e-05,-3.601852674381528e-09,-3.0429196380545756e-07,-1.3586193688462248e-06,-8.301683769817399e-05,-0.07362489593261726,3025.0,MB,0.009563154131978932,4.198592942685877e-05,0.009389589891738518,0.0005512882835364955,0.00020281643632192426,0.0019899656613351297,2.9905203417606786e-07,0.001980835907771472,6.298692348531281e-05,0.003623184132815002,0.596771315346774,Krebs
10,FrMoCtx,0.002802271065461136,-4.364521380746533e-06,0.0028866222358080785,0.00010600894619190294,2.553369363843536e-05,-5.243134777576364e-06,6.5708507485032375e-09,-1.6844170010089123e-05,-1.08808699574389e-06,-1.7131315838625143e-05,0.04990538531010716,2310.0,SC,0.005315507094966722,6.578575952975174e-05,0.005122888046096175,0.0003066202100191044,7.310160619001082e-05,0.001995721163681125,6.132996421740617e-07,0.0019264362723305595,5.3269253673229355e-05,0.003553212944960863,0.6026789850018063,Krebs
