,first_region,mean_corr,mean_cov_cond_exp,mean_exp_cond_corr,mean_exp_cond_cov,mean_info,mean_shuff_corr,mean_shuff_cov_cond_exp,mean_shuff_exp_cond_corr,mean_shuff_exp_cond_cov,mean_shuff_signal_corr,mean_signal_corr,num_pairs,second_region,std_corr,std_cov_conv_exp,std_exp_cond_corr,std_exp_cond_cov,std_info,std_shuff_corr,std_shuff_cov_cond_exp,std_shuff_exp_cond_corr,std_shuff_exp_cond_cov,std_shuff_signal_corr,std_signal_corr,mouse_name
0,LS,0.0026089343761883477,-0.0001547112546400031,0.0028982770635074305,0.0005857336880572899,0.0006116436298775638,-0.00015768921613377,6.813472281428063e-07,7.097330391568386e-05,-1.2397774145728748e-05,0.00010061567950827124,0.07259620407584715,3135.0,FrMoCtx,0.021543131640130508,0.002445547620357068,0.018183995245364733,0.006718937201912453,0.0011190567669603182,0.006265210400713805,3.164061557262361e-05,0.006420783210883301,0.0014862928900557539,0.005589032573511851,0.5959634660057953,Krebs
1,LS,0.008459504703064745,0.00013062004733790613,0.008182064109227359,0.0010168784146073703,0.0007614782447018365,9.083629751158115e-05,-1.0834025909526618e-07,-1.3597997955678077e-05,-1.1132155145955563e-05,-0.00015442774419456185,0.05391293270522216,3363.0,CP,0.02607136488250818,0.0019490917168153486,0.023497418391093514,0.004810871446013678,0.0018774966448067494,0.006268601429931205,1.650471062567506e-05,0.006284804717065762,0.0008686235952801494,0.0058822626326142675,0.6093672244787303,Krebs
2,LS,0.008513971817960205,0.0006024648534949848,0.00744584527144904,0.00298900318417382,0.0011128570294090673,0.0002204203271386913,1.9905158931225334e-07,7.17871741976978e-05,6.478211140188429e-05,0.00010540642733787234,-0.010956953861932458,3135.0,MB,0.028950630656740542,0.00589948300260245,0.025972167330444253,0.014802007434965096,0.0024015444861313503,0.006167483454937289,4.584743226631415e-05,0.006406950870620731,0.0025940542123955236,0.005737326243485721,0.587870648311181,Krebs
3,LS,0.013131247286916253,0.0005908963834650361,0.012781518761083285,0.004789943106345352,0.001638430525207548,-2.8152391014220566e-06,6.712984897904214e-08,-5.5782560947553695e-05,-4.7464540492153724e-05,0.00010969046067546299,0.017491811969788267,2394.0,SC,0.038300383561583454,0.009772054020528487,0.03530780944965979,0.022006931466142583,0.003296586495903884,0.006024339052355761,6.631990416221168e-05,0.006268834693476392,0.002325315442902685,0.005678390326442809,0.6532459223072159,Krebs
4,LS,0.007182571321650912,0.0002681245611498557,0.00694420411526229,0.0020007454320718617,0.0007202513163752158,8.96247330360286e-05,3.253189985907663e-07,7.375831245263272e-05,-1.0577356059944399e-05,-0.0001185595668570248,0.03714494629816926,3306.0,V1,0.023153832691647964,0.003983051468653806,0.02008796225810873,0.008428807186956329,0.0014189559583513314,0.006265752152814116,3.2993395626478356e-05,0.006408949738771974,0.0018293593202179327,0.0056909240338143185,0.6556806076557785,Krebs
5,LS,0.009500560835679135,0.0006706846817985361,0.008360702789281797,0.002800505576939636,0.0015746316800558991,-3.577799069224489e-05,-8.931270566721684e-07,0.00011076784372151151,2.308859462632784e-05,-9.209449854113149e-05,-0.03385042504665327,3249.0,TH,0.03501227958813721,0.0057961890212255155,0.03065036626387688,0.012704099049555747,0.003203003641868317,0.006294487742497522,4.1153891711132096e-05,0.006204086882422667,0.0018373230842423623,0.005573025676433205,0.6283437254270976,Krebs
6,LS,0.014900828251093802,0.000340582428882874,0.014672628652501005,0.005091535256111066,0.001601833839831112,-6.637101965035826e-05,1.5549840930608584e-06,0.00016807702193856924,3.3006723874413626e-05,0.00011201544471201601,0.012629298571073373,3249.0,HPF,0.03564364376958349,0.007930767413307225,0.03209452805396754,0.016151233371920183,0.0031137215051973226,0.006225207326534471,5.959884919883078e-05,0.006345871667900673,0.0021139369312397306,0.0054541747933848665,0.6800092206712391,Krebs
7,LS,0.00876758257056484,0.0004888831832713842,0.008127343140228753,0.001964186501940336,0.0010688615661801964,-6.0471242798064834e-05,-9.523144877545202e-07,0.00023650003192378686,4.151848289701502e-05,-0.00022435095898414067,0.009763904987306898,3135.0,SomMoCtx,0.029951364676213316,0.005096555529796786,0.024098031917019508,0.007553992777807145,0.002075712721703583,0.006146280093962796,3.804633299823683e-05,0.006341712407554568,0.001431230966323708,0.005637528198029066,0.658769413467622,Krebs
8,FrMoCtx,0.007622376127440831,-8.051263541037916e-05,0.00762004981080756,0.0012602695225430822,0.0006394563230387078,0.0001984731932760971,-4.097987014340597e-07,0.00023016848134395942,2.728557490115361e-05,-7.273069634152547e-06,0.17093353136863965,3245.0,CP,0.021485355233269558,0.0015009918053012653,0.020107315893910557,0.005328277107441863,0.001186468945334602,0.006248219428683326,1.5313819294103664e-05,0.006229016882936601,0.0010885006749864312,0.005694282678179711,0.5510920773141507,Krebs
9,FrMoCtx,0.034662080429683516,-0.00012777231655849712,0.035685210756593345,0.019550413358052326,0.0032795224542421205,2.2862199737262675e-05,-1.4809277662506555e-06,-6.184736802575187e-05,-1.9346432508916984e-05,-0.00011959145542478943,-0.036263177941238636,3025.0,MB,0.047643707142835445,0.004223655253125676,0.04600264713065014,0.044390146205806565,0.00582019311508198,0.006135860197463634,6.924673869041868e-05,0.0062211820852193555,0.0033961523033454407,0.005790017165795518,0.5454001616601984,Krebs
