,first_region,mean_corr,mean_cov_cond_exp,mean_exp_cond_corr,mean_exp_cond_cov,mean_info,mean_shuff_corr,mean_shuff_cov_cond_exp,mean_shuff_exp_cond_corr,mean_shuff_exp_cond_cov,mean_shuff_signal_corr,mean_signal_corr,num_pairs,second_region,std_corr,std_cov_conv_exp,std_exp_cond_corr,std_exp_cond_cov,std_info,std_shuff_corr,std_shuff_cov_cond_exp,std_shuff_exp_cond_corr,std_shuff_exp_cond_cov,std_shuff_signal_corr,std_signal_corr,mouse_name
0,LS,0.0007103321696923696,-1.0286642414472192e-05,0.0008505410636269839,2.6269364107904453e-05,3.20460883684287e-05,5.1447300541507876e-05,-9.004226126620863e-10,-1.6433825600747716e-05,-2.978307658346844e-07,-9.942372863998514e-05,0.08961467903950526,3135.0,FrMoCtx,0.006142438065034791,0.00010516721924354806,0.005264606226283898,0.0002792957560885603,6.918647279758094e-05,0.0026974020516748924,7.998241877082699e-07,0.002793327335999523,0.000107104192775074,0.0038644861033688012,0.6368479996215913,Krebs
1,LS,0.0025008013429444038,5.2488208014955244e-06,0.0024442267057348333,4.8068164314062466e-05,4.1710374880449036e-05,8.168272860719867e-06,-1.0237685917220782e-08,0.00012176134621832609,2.1983818178168896e-06,-7.043019591471078e-05,0.05275237173611506,3363.0,CP,0.007320568973402606,7.84789472015454e-05,0.006804254852857618,0.00022400907476468576,0.00010725789067294392,0.0027807179949907866,4.99809224596307e-07,0.0027420257574183346,6.129990803228147e-05,0.00379749227173746,0.5805173085492175,Krebs
2,LS,0.0023086274336100118,1.82960381662471e-05,0.0021018609275776003,0.00012698011167614468,6.457512922761998e-05,6.149747603637138e-05,-8.448613265214452e-10,2.884326952262619e-05,-8.763031750056043e-07,-7.856691718522997e-05,-0.015697789393251955,3135.0,MB,0.008360112889609125,0.00021940914265688798,0.007709898229878911,0.0006102394116076009,0.00016759953979894615,0.0027318388469634784,1.1040265735895414e-06,0.0028353384377802814,0.000172202218312674,0.003911133016439587,0.6218674379269709,Krebs
3,LS,0.003881857467718197,2.5917147684676337e-05,0.0037450091533751833,0.00021478058064306537,0.00010570486861685622,-1.1911854221313053e-06,-5.930208570848298e-08,4.222374704944313e-06,3.516858130550033e-07,-7.768529492541682e-05,0.01774843383248177,2394.0,SC,0.0109051972424363,0.000404034803178773,0.010020527932767044,0.0009159988740811183,0.000266571657210245,0.0027448507613898115,2.2850805764093166e-06,0.0028443217551447127,0.00015529794407137675,0.0035206520566777016,0.5810455541319517,Krebs
4,LS,0.0018859760735901046,9.46058290162026e-06,0.00182803189132304,8.0708959705903e-05,3.8015764405846314e-05,5.301875855810366e-05,-2.3924703439360197e-08,-7.268799097723832e-05,-2.2332750160773132e-06,-1.6157307230443663e-06,0.023612614027192808,3306.0,V1,0.006560457994086667,0.00015012549740088898,0.005895645505346604,0.00036237064091921087,9.595857902546561e-05,0.0028032058733540397,7.999622258235492e-07,0.0027895737904201196,0.00011555549113964522,0.003563387694974999,0.5822779561830105,Krebs
5,LS,0.0025190857595929813,2.638045046543949e-05,0.0022325010954738415,0.00011763143698745452,8.400898979665344e-05,3.567619311988882e-05,1.3583294942794978e-08,-2.1853222820851162e-05,1.4553695058957436e-06,0.0001040652811449713,-0.03873390657863724,3249.0,TH,0.009594996793276682,0.00023539792708981806,0.008465831673005651,0.0005257328878809527,0.00019335142626844052,0.002736510080650378,1.2487298711290364e-06,0.002793787630068811,0.00013818779191407938,0.003537559944974924,0.5929988512206236,Krebs
6,LS,0.004398132745792958,1.4318356742338497e-05,0.004309822316637715,0.0002361935187197921,9.737282737025777e-05,6.606861381664865e-05,-1.7824069659698217e-08,1.8411766774440288e-05,-1.5754436661014008e-06,-1.9955393473313967e-05,0.01514397903541254,3249.0,HPF,0.010169999696042846,0.0003224466481123583,0.009031138395000015,0.0006988636444840092,0.00023510882931688617,0.002813631867351462,1.7585652620665581e-06,0.00282122947114286,0.0001481565247797027,0.0040495156600968245,0.6762509566159223,Krebs
7,LS,0.0022133467969764936,1.9423382511809425e-05,0.0020458210763966457,8.009207364116e-05,5.229548586419587e-05,3.655848105560508e-06,-2.0242386132573402e-08,-0.00013920622301721497,-4.8738652916785865e-06,-5.028832035144052e-05,0.010490626544815983,3135.0,SomMoCtx,0.007890641153892642,0.0002039298859469182,0.006411204929091396,0.0003185055957367966,0.00011731235591706092,0.002752692328657791,1.1919361821904815e-06,0.002811588997812979,9.97137283854482e-05,0.00381152922460816,0.6585079963108386,Krebs
8,FrMoCtx,0.002439068366521826,-5.438124922435667e-06,0.0024911497629017502,5.8269238728483556e-05,3.913565910951502e-05,-3.0392436028898808e-05,8.461449483874233e-09,3.887959543960084e-05,1.082055159101577e-06,-3.5965183585671043e-06,0.15921680140177946,3245.0,CP,0.006994947801330028,6.141310065338693e-05,0.006684765118448053,0.00023194950045993755,0.00010355426374860797,0.002725263902180967,4.541254005517132e-07,0.0027788539411292435,6.941999237321963e-05,0.003721923491767062,0.543764313686859,Krebs
9,FrMoCtx,0.01201059395683486,-1.2774740913016088e-05,0.012282484325214739,0.0009378757792270306,0.0003056830327612434,9.030645331258553e-05,-1.7296953175617443e-08,-6.409849231924197e-05,-4.115400622197857e-06,7.77306315610313e-05,-0.06090166879286823,3025.0,MB,0.01757890937205082,0.000161308888037556,0.017159031250072294,0.0021564281410250993,0.0007182247069952674,0.00281460759694597,1.3191853609237403e-06,0.002771185781914865,0.00018725230674711054,0.003967877270581209,0.6077746722901941,Krebs
10,FrMoCtx,0.005328986869995186,-1.8408461291804153e-05,0.005518490149399445,0.00042590356514701864,9.436636736914609e-05,-7.1629127672003935e-06,-1.1417040961459755e-07,4.463090197313024e-05,5.084960567270955e-06,-1.773630577628487e-05,0.04140218888051216,2310.0,SC,0.009456510705840018,0.00028804062586115217,0.009036337672839893,0.0011880708368439245,0.00024899009111214613,0.002734414036556611,2.4949328588052115e-06,0.0027862714991925474,0.0001784488903485074,0.0036556339554928534,0.5576860198369333,Krebs
11,FrMoCtx,0.0023024517012923437,-6.627104041825683e-06,0.002360486558364664,0.00016403599405847134,4.678151110796698e-05,4.2638976535143975e-05,8.685044668704856e-09,-0.00010486663675125153,-4.153072044216011e-06,-7.148649149967023e-05,0.08049336862303472,3190.0,V1,0.007323806498306947,0.0001120111469398584,0.0070751520039465466,0.0007059060177272509,0.00016385118991445419,0.0027735143491959195,9.789489506129155e-07,0.0027428407616332737,0.00013106358655232757,0.0034179622568998257,0.5467349160070545,Krebs
12,FrMoCtx,0.0027863014095950026,-2.8308711363994156e-05,0.003242581368976028,0.00022228773470071248,8.963089582510635e-05,6.0440756785323296e-05,3.5983501814369566e-08,-9.634793154676985e-06,-8.586022078109374e-07,8.300986452410101e-06,-0.15532859486888534,3135.0,TH,0.009692511095199861,0.00017551837686954062,0.008939596306147792,0.000773241188300283,0.00021878188594478295,0.002817853730691679,1.6030766197538576e-06,0.002823712916636814,0.00014408519763845832,0.0035910001422953595,0.540312219245736,Krebs
13,FrMoCtx,0.00314391196608292,-2.3646408363132257e-06,0.00319899633479788,0.00023820235984796669,6.244388993633231e-05,4.268142380931619e-05,-2.2642786377985668e-08,4.523388144973705e-05,5.327256746108278e-07,5.110496004123122e-05,0.02776603751270243,3135.0,HPF,0.007890527238002132,0.0002321194122338959,0.007499447834855804,0.0008388463868135902,0.00016870621230259366,0.002810749006417462,2.5229588620119354e-06,0.002812501563141989,0.00016745925503050673,0.00396100450106612,0.6330970112898141,Krebs
14,FrMoCtx,0.00327896581769522,-2.0190920753862262e-05,0.0035512225254032215,0.00016569367976943414,7.03794506913825e-05,-1.2233957993805833e-05,-1.7513022192974202e-09,2.4143712711204153e-05,-1.524794098915582e-06,7.773572871988218e-05,0.031076550346439042,3025.0,SomMoCtx,0.009141397149362794,0.00014331694551458112,0.00851162949172717,0.0007375355230956,0.00016947638473647602,0.002762562039523972,1.1892400702019016e-06,0.0027856543265014104,0.00010928401283110645,0.0038252254593490968,0.6117011864862204,Krebs
