,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
0,LS,0.0003488421971653219,7.0474423068053865e-06,-5.750723125080071e-05,3025.0,FrMoCtx,0.0031936692225513585,1.4495557144897159e-05,0.0019151256345204732,Krebs
1,LS,0.0015239932165460296,1.2210995414437556e-05,3.305274985117406e-05,3135.0,CP,0.004305593642028471,2.8034672315695042e-05,0.0019460168063716325,Krebs
2,LS,0.0012923102684818469,1.626026459276097e-05,1.7100833975200909e-06,3080.0,MB,0.0046551830986782325,4.2496443798719245e-05,0.0019160867256682223,Krebs
3,LS,0.0021922709370793643,2.7906878148849837e-05,0.00011439392428744892,2310.0,SC,0.006025948297934784,7.324748206361259e-05,0.0019762853565165064,Krebs
4,LS,0.0011373696030093274,1.1307593908813673e-05,-6.791024729518506e-06,3025.0,V1,0.003935987686262501,3.235915764411725e-05,0.0019350673976936785,Krebs
5,LS,0.0011563587927866652,1.824301921137058e-05,3.021675831570483e-05,3245.0,TH,0.004939733845379632,4.447860291252242e-05,0.0019692910390666112,Krebs
6,LS,0.0026787901077936008,2.543428524345159e-05,7.527394172061445e-05,3245.0,HPF,0.0056476559151968095,5.873487765749592e-05,0.0019511084688421533,Krebs
7,LS,0.0014044980801865758,1.3116314634334082e-05,-5.506595630512817e-06,3135.0,SomMoCtx,0.0042176426126817445,2.9571073179028055e-05,0.0019449125157703904,Krebs
8,FrMoCtx,0.0017463105422340294,1.260467904785427e-05,-8.102138706068263e-06,3135.0,CP,0.004302466717937409,3.683129120183198e-05,0.0019463064219136465,Krebs
9,FrMoCtx,0.005223023132577657,6.726053009685872e-05,1.6592563030691622e-05,3080.0,MB,0.009032094581682887,0.00020618527894179168,0.0019848699014374293,Krebs
10,FrMoCtx,0.0027164127808821537,2.518827267169649e-05,2.592516288809292e-06,2310.0,SC,0.005347306632245071,7.604615451689419e-05,0.0020154372889664885,Krebs
11,FrMoCtx,0.0014024166198610911,1.5479111560607068e-05,-1.1578230882472061e-05,3025.0,V1,0.004456508344293361,6.335813400704054e-05,0.0019873549101180705,Krebs
12,FrMoCtx,0.0014040883241205223,2.137275682345669e-05,2.3493014011361946e-05,3245.0,TH,0.005306114755440719,6.0055914605365415e-05,0.001940140731742031,Krebs
13,FrMoCtx,0.0017939270454848377,1.7044082630584058e-05,-1.5764324917670153e-06,3245.0,HPF,0.004540053373520648,4.6375168487735044e-05,0.001944695775214075,Krebs
14,FrMoCtx,0.0020765589689430565,2.124288143621488e-05,-3.673766547873778e-05,3135.0,SomMoCtx,0.005266506733561627,8.732844284545459e-05,0.0019336881837572518,Krebs
15,CP,0.002852922509827077,2.6875860430332082e-05,-2.022939689458944e-05,3192.0,MB,0.006158235265593733,8.209923775265311e-05,0.001979213768455316,Krebs
16,CP,0.003551920963380773,3.347597588401434e-05,5.189878109460407e-05,2394.0,SC,0.006383817804989316,0.00010669890585399192,0.0019632312189473227,Krebs
17,CP,0.005681453774517062,5.387965547043519e-05,1.1915356075274728e-05,3135.0,V1,0.008347258893281454,0.0001826701581115816,0.0019376094164104333,Krebs
18,CP,0.0023729298792206275,2.465562814081524e-05,-8.020022129130521e-05,3363.0,TH,0.006139753785207734,6.125421797455757e-05,0.0019680807942895496,Krebs
19,CP,0.003481849535766818,3.0450258506215957e-05,-3.002555997148112e-05,3363.0,HPF,0.006188017504831612,7.04671923386678e-05,0.0019726029055033047,Krebs
20,CP,0.0029821767353545763,2.1066183073112887e-05,-1.0171167926691461e-05,3249.0,SomMoCtx,0.005215340147274665,5.550315164124215e-05,0.0019442312780052862,Krebs
21,MB,0.006762952531018609,0.00031076139169719795,4.379071048194565e-05,2352.0,SC,0.02466010208688222,0.0061401926714259565,0.001920694664597429,Krebs
22,MB,0.0030440054970695602,4.2353471590783655e-05,-2.064985429366298e-06,3080.0,V1,0.0073605120396416914,0.00017071231180114307,0.0019194573658789626,Krebs
23,MB,0.005088479576558327,6.658285755191786e-05,-0.000104132177270083,3304.0,TH,0.009379018503060721,0.00021052348707272948,0.0019843648377815743,Krebs
24,MB,0.003922785921511803,5.3308008422705694e-05,-3.4802003761446303e-06,3304.0,HPF,0.00805143942856729,0.00015298166541381878,0.0019508554269120518,Krebs
25,MB,0.004112996173193487,4.788168630014954e-05,4.763636036428026e-05,3192.0,SomMoCtx,0.007507683175587179,0.00013791552164360603,0.0019712630377876454,Krebs
26,SC,0.004087829685330131,4.6915717509716085e-05,-4.141520372835764e-05,2310.0,V1,0.007163977320708802,0.0002678846608461432,0.0018946128172189268,Krebs
27,SC,0.004962376105449746,6.821446865369186e-05,3.3518864051977604e-05,2478.0,TH,0.008928709355392792,0.0001862927949200919,0.0020668245080188168,Krebs
28,SC,0.010173113207988829,0.0002218579117552194,-3.818835807536744e-05,2478.0,HPF,0.016111669125231244,0.0012761101146323277,0.0019800799531917283,Krebs
29,SC,0.004407166231622553,5.003637928354021e-05,2.6632224537531792e-05,2394.0,SomMoCtx,0.007320263376503047,0.0001689184453212467,0.0019500058799842056,Krebs
