,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
0,LS,-0.004598124219475663,0.07887574141469088,-0.0007368447958432248,3025.0,FrMoCtx,0.12281298709518079,0.07404587481759575,0.027439959434787775,Krebs
1,LS,0.018526392533815786,0.06932709896172648,-0.000869232898851457,3245.0,CP,0.138496540536772,0.0633300835302347,0.02742826870323088,Krebs
2,LS,0.03311982634372419,0.15826445845922277,0.0004559369436374283,3025.0,MB,0.15166837514899395,0.12124284404399797,0.027943575086194165,Krebs
3,LS,0.022421095135279234,0.15734695172997765,0.0003878794767555704,2310.0,SC,0.1761557749523722,0.145607751389442,0.027539667948656324,Krebs
4,LS,0.01066718693055705,0.06830092775034945,0.0004208391999214224,3190.0,V1,0.12460981610589816,0.05767871249638984,0.027866008492261087,Krebs
5,LS,0.048643186430700334,0.13556179446862654,0.00033449598931657156,3080.0,TH,0.17111983867550568,0.11104269272408858,0.027628927088184024,Krebs
6,LS,0.0376706505451805,0.1445931222979351,0.0004956431001992545,3300.0,HPF,0.17405466572709502,0.12153205057687319,0.027645817164281102,Krebs
7,LS,0.02244246904446305,0.10289008699601684,-0.0003738829007574189,3025.0,SomMoCtx,0.1505961292836054,0.08789338962614919,0.027430592078703252,Krebs
8,FrMoCtx,0.03685078912632285,0.07080799449387401,-2.2510291550105425e-05,3245.0,CP,0.09714447715440666,0.07331812610758956,0.027606966217116283,Krebs
9,FrMoCtx,0.08077913174088812,0.18373538802625297,0.0009327248558700809,3025.0,MB,0.12828929412490647,0.16469685575621337,0.028165862445164155,Krebs
10,FrMoCtx,0.08492869536353101,0.17188191153040872,0.0016355753706974515,2310.0,SC,0.12791245788820807,0.18169280943183366,0.02795696944301248,Krebs
11,FrMoCtx,0.03393910462849166,0.07350833843905588,-0.00027144727911704194,3190.0,V1,0.08901676318634152,0.07760159711463903,0.027454994984537746,Krebs
12,FrMoCtx,0.0267186106101948,0.13490250195242545,-0.0008498078261362869,3080.0,TH,0.12129513176155578,0.12740973792025778,0.027470859263823692,Krebs
13,FrMoCtx,0.06119715343467285,0.1447844850859065,-0.0004883796004824169,3300.0,HPF,0.11792980411614118,0.1444235600781903,0.027110306565875326,Krebs
14,FrMoCtx,0.04187875373223847,0.10789869630608095,0.0006466780931179705,3025.0,SomMoCtx,0.11768767079990378,0.11065182878974496,0.028087300440996363,Krebs
15,CP,0.0638482421742411,0.13245616848953498,-0.00040575108076335107,3245.0,MB,0.1221926782699609,0.12107203567254314,0.0273386809706762,Krebs
16,CP,0.07361322676210402,0.1263851796791599,0.00020344009198219683,2478.0,SC,0.13304151408106427,0.13280273317195737,0.027029330411529363,Krebs
17,CP,0.06624525281884912,0.06571882199838538,0.00043144880800387824,3422.0,V1,0.10604169995038118,0.0625073702229281,0.02799169519403942,Krebs
18,CP,0.05408259949290598,0.10831602176284533,-0.0007882344860597923,3304.0,TH,0.134376419013476,0.09906364974401245,0.027939198930411045,Krebs
19,CP,0.07033824237387203,0.1157026530427517,0.0005338824211880852,3540.0,HPF,0.13371459243264744,0.11218924484608427,0.028060238447297506,Krebs
20,CP,0.06356674070269666,0.08747423358795801,0.00036694494905017803,3245.0,SomMoCtx,0.11782080260377686,0.08200823045828413,0.02750029925128617,Krebs
21,MB,0.1484251900785173,0.33092202585704855,0.0006020148601703214,2310.0,SC,0.16324261497449424,0.28079241596234994,0.0279451538198549,Krebs
22,MB,0.04930589287655846,0.1463979633728974,-0.00012919001784301087,3190.0,V1,0.12032479041516983,0.13370007739541775,0.028401323711895955,Krebs
23,MB,0.12172585063157661,0.2732276403746238,0.0003096209149665257,3080.0,TH,0.149369772621608,0.20135366246785755,0.02766723192833751,Krebs
24,MB,0.12275332490498277,0.28816918245681833,-0.0003430245941277588,3300.0,HPF,0.16637779996894905,0.2345221854239421,0.02742481735981549,Krebs
25,MB,0.0701880161169234,0.20622812139373858,-0.0003691424585872716,3025.0,SomMoCtx,0.1392790553326165,0.17956712444119005,0.026904560010470657,Krebs
26,SC,0.07115040399002066,0.13953770590868791,-0.0010744392478993345,2436.0,V1,0.12149665423122394,0.1463851295544272,0.027289973192139924,Krebs
27,SC,0.11434697480805767,0.25608050625639744,0.0009398328958542323,2352.0,TH,0.16839877590031566,0.22864961503412534,0.02818510899010556,Krebs
28,SC,0.15666534700287424,0.28160782010011526,0.0007900304500307825,2520.0,HPF,0.18923289045652214,0.2698928589178346,0.027643821533004796,Krebs
29,SC,0.08337102389680039,0.19575315545008679,-0.00025939198010144286,2310.0,SomMoCtx,0.1488520417557818,0.20037884271605383,0.027582606000862913,Krebs
30,V1,0.035905607589652055,0.1153501455468468,-0.0003788071876404263,3248.0,TH,0.1336632341686361,0.10335263538455329,0.027432505451706946,Krebs
31,V1,0.06473691612173452,0.1251759052606862,-7.979792427312461e-05,3480.0,HPF,0.13238303526807205,0.11926376307818101,0.027385441215445075,Krebs
32,V1,0.06627107497620457,0.09220621770661762,-0.0004929286841742602,3190.0,SomMoCtx,0.11341016054792288,0.08847965684441667,0.028020317755559285,Krebs
33,TH,0.10580543576135326,0.23039550646220472,0.0007353678825788363,3360.0,HPF,0.17619691066437537,0.1927274598277363,0.027606721317556537,Krebs
34,TH,0.05514615511637418,0.16669047027467532,0.001260269861236157,3080.0,SomMoCtx,0.14959729550510237,0.1463846054012339,0.0274265055371019,Krebs
35,HPF,0.08309250577329101,0.1769539275660928,-4.8988224171985194e-05,3300.0,SomMoCtx,0.14791897898899212,0.16506132790137243,0.027242435101415705,Krebs
36,LS,0.0486142397440611,0.10520376831356992,3.761516585934628e-05,1485.0,LS,0.2088253189993314,0.09550144409024508,0.027985382556926865,Krebs
37,FrMoCtx,0.09549549429287375,0.10770119242909008,-0.001316075538803762,1485.0,FrMoCtx,0.12423388401077055,0.10890186292706878,0.02753786692565982,Krebs
38,CP,0.09555721841307065,0.07558251763108584,-0.0006652437317747379,1711.0,CP,0.1279929996802058,0.07112192153143093,0.027947054983857755,Krebs
39,MB,0.1615940392455811,0.35984456881565485,2.2580687572086537e-05,1485.0,MB,0.16018397631394243,0.2501377455557195,0.028065509345153134,Krebs
40,SC,0.19900328365346898,0.33611960100538923,0.0003005241146334749,861.0,SC,0.205304213532903,0.32055745259161056,0.027855405930392273,Krebs
41,V1,0.09200011602638393,0.07491833433015659,0.0014268366200921154,1653.0,V1,0.1221014816732669,0.07021264642715822,0.02712779359700532,Krebs
42,TH,0.13095317859462166,0.22373122980882457,-0.0009683223447180884,1540.0,TH,0.1548140517764305,0.1710552111073283,0.027702530995152186,Krebs
43,HPF,0.14124501265883344,0.25533873871004775,0.0006928483426785057,1770.0,HPF,0.2045215832640754,0.23359054200889223,0.028779947630660236,Krebs
44,SomMoCtx,0.10391148481722695,0.14811561710677962,-0.0006885831714874328,1485.0,SomMoCtx,0.15724752510497367,0.14082503749767297,0.027893078076279196,Krebs
45,LS,0.027529275660520908,0.052543402163444615,9.807981903173078e-05,3770.0,FrMoCtx,0.11327394706602562,0.04839889385474129,0.019869778214894912,Waksman
46,LS,0.04840125146127469,0.06748196776517021,0.0005392374311588744,754.0,CP,0.2001224034670076,0.07603345775512879,0.02015882331019066,Waksman
47,LS,-0.0029651247378206713,0.102638680098752,-1.7687416664311444e-05,3538.0,MB,0.15401107078738777,0.08087758546158447,0.020057016308467065,Waksman
48,LS,0.00525840576077484,0.07111181893638766,-0.0004962244268334439,3364.0,SC,0.1418346179104313,0.08185925165284885,0.020334991619982277,Waksman
49,LS,0.026595443918466206,0.07326064827384021,-0.00012218070913821673,3886.0,V1,0.12095599069021051,0.08112015514781538,0.020223276485753446,Waksman
50,LS,0.012938410124797864,0.09431949574396786,-0.00036413404723077946,3364.0,TH,0.1796706664223229,0.08724151515581782,0.020265384519250144,Waksman
51,LS,0.008079843738738796,0.09075613582327587,0.00023644628217794235,3190.0,HPF,0.15897793885093786,0.08600697359755458,0.02039263104783742,Waksman
52,LS,0.02642588961986637,0.06592633035109804,0.00014765397882989087,3480.0,SomMoCtx,0.1112449923179108,0.06820645248491156,0.019741759076338922,Waksman
53,FrMoCtx,0.03267284794838959,0.04421464827247958,-0.0005956778854975246,845.0,CP,0.11050877934490241,0.04407780443994977,0.020101058836339947,Waksman
54,FrMoCtx,-0.004633759250074988,0.09086864384257116,0.0003783977319075726,3965.0,MB,0.11046249721689899,0.095172238737582,0.019698209122337863,Waksman
55,FrMoCtx,-0.0004998555028687437,0.05906368582228806,0.000120226648559851,3770.0,SC,0.09292252058002003,0.07941832551186585,0.01995536354878351,Waksman
56,FrMoCtx,0.022313792716725993,0.0646376126678432,-0.0002963854068049609,4355.0,V1,0.08567014928675888,0.08659451350022321,0.020453321126458014,Waksman
57,FrMoCtx,0.008289178045092728,0.07467236302128452,-0.00033646457215616335,3770.0,TH,0.1111627296602734,0.07852773290661652,0.01966538858546074,Waksman
58,FrMoCtx,0.0015073313586018006,0.07396557262825161,0.0006629187995034575,3575.0,HPF,0.10009339026933564,0.08580073538263136,0.020008205698853154,Waksman
59,FrMoCtx,0.03009969475303369,0.060039295193476276,-0.0004359110347184472,3900.0,SomMoCtx,0.09015648802474435,0.07382600943180238,0.02027375683571454,Waksman
60,CP,-0.04220170602389677,0.08146693655120552,-4.632628254381663e-05,793.0,MB,0.13299170057388918,0.07637106503848273,0.020905501311462855,Waksman
61,CP,-0.0032254339486751413,0.06053657155387257,0.0007664619099478309,754.0,SC,0.1403013093746141,0.07674149134022121,0.01896736280548567,Waksman
62,CP,0.038927358224902356,0.06385969464777462,-0.0010084409222037942,871.0,V1,0.12282884313899643,0.07799579840526237,0.020624871069539783,Waksman
63,CP,0.0016683474829068178,0.08444543985575223,1.762579911688897e-05,754.0,TH,0.18690570654795013,0.09176731219525716,0.02076571615354036,Waksman
64,CP,0.0071914074257855235,0.07991570429693111,0.00040960548722426636,715.0,HPF,0.16783151497634718,0.08605367271422261,0.01949457084755133,Waksman
65,CP,0.025139461691903828,0.05389211349468402,-0.0003550183628762939,780.0,SomMoCtx,0.10414623843817764,0.06276022961339707,0.020238540400255252,Waksman
66,MB,0.041347466433777964,0.12695341239618957,0.0006530598076303874,3538.0,SC,0.13680314274837305,0.1500150690198413,0.0200456029417914,Waksman
67,MB,0.007917872534400211,0.13752814466987348,-4.474235271471438e-05,4087.0,V1,0.13283478147653074,0.15984327860058792,0.02045191815193026,Waksman
68,MB,0.08489068069403355,0.16090492491343614,-0.0002323248356340278,3538.0,TH,0.15787067295037918,0.14509505488443353,0.020350777846293962,Waksman
69,MB,0.05544965036156529,0.16592914920316573,0.0006746620784223423,3355.0,HPF,0.16208935186493534,0.16732384114535503,0.019957483139806463,Waksman
70,MB,0.012058649069016615,0.1220369026981037,-5.980782115701864e-05,3660.0,SomMoCtx,0.1296592871760345,0.12862208448408483,0.019957092421161306,Waksman
71,SC,0.006432227591193964,0.08812947783112833,-0.00039503712893391334,3886.0,V1,0.10289720206879754,0.13795392609451568,0.02022098817775469,Waksman
72,SC,0.02400581180324268,0.10180682874804328,0.00033902202144887417,3364.0,TH,0.13708032202101106,0.12912854803934576,0.020153917443264814,Waksman
73,SC,0.019345203652670975,0.10360371065168375,0.00022045417009814236,3190.0,HPF,0.12875698105458633,0.13898337424852664,0.019984833790673912,Waksman
74,SC,0.004890700730917832,0.0782763358463051,-0.000988520501339973,3480.0,SomMoCtx,0.09839667419365324,0.11514133311230755,0.01975611625989016,Waksman
75,V1,0.014148620285228498,0.1083004169204535,5.2561177549617634e-05,3886.0,TH,0.12357698678440142,0.13565013719645058,0.020559871795247243,Waksman
76,V1,0.0120520843739903,0.1137004701732665,0.0005542818568372361,3685.0,HPF,0.12205102823805315,0.1507840181342648,0.020468088875215163,Waksman
77,V1,0.028054739417720624,0.08729417980691571,-0.00012559919305453376,4020.0,SomMoCtx,0.08922906341824204,0.12440145977366525,0.01967895225053909,Waksman
78,TH,0.033164540751417615,0.13080349435308578,0.0007241390657564612,3190.0,HPF,0.15311588925577047,0.13904083160841402,0.020374347419408377,Waksman
79,TH,0.016404939237882055,0.09748269367967971,-0.00021553024692904562,3480.0,SomMoCtx,0.11571912500010946,0.10989152593519555,0.020243360289002192,Waksman
80,HPF,0.006712133969263431,0.09708336743378632,-0.00018796763527626983,3300.0,SomMoCtx,0.10367714870610173,0.12248015882867239,0.020003316671805414,Waksman
81,LS,0.03463399297500534,0.07496136364669984,-0.00046244546703240805,1653.0,LS,0.19334369893282735,0.07373007577895614,0.02003238108812172,Waksman
82,FrMoCtx,0.029612272884639843,0.04538800319452628,-6.993369845636379e-05,2080.0,FrMoCtx,0.0890438308301333,0.05012231624893645,0.020044518601936373,Waksman
83,CP,0.09312160913417677,0.07964667163306721,0.00043504889698293785,78.0,CP,0.24444463452984766,0.1013728132389571,0.020520290511710577,Waksman
84,MB,0.20390877531893264,0.23719968976695613,0.0003395404459891109,1830.0,MB,0.1591542928874011,0.171206470798482,0.020588280168828993,Waksman
85,SC,0.025939234984477293,0.08699698686818237,0.0003970012821172729,1653.0,SC,0.13086237558937167,0.14506715717019375,0.02000369507816829,Waksman
86,V1,0.061935171701492646,0.10704598281732418,-0.0006458910263052018,2211.0,V1,0.12157642870225871,0.15782997565225307,0.02001054958088834,Waksman
87,TH,0.05217046119528758,0.13527579144623944,0.00013869934740454602,1653.0,TH,0.18031953431253014,0.13104510274638825,0.020015500651880302,Waksman
88,HPF,0.03184194874324401,0.13665062450986928,-0.0007424139018068927,1485.0,HPF,0.15788766411352634,0.15674520380220117,0.020917470334363447,Waksman
89,SomMoCtx,0.04230838360395289,0.08217368682714019,-0.0005957406555751209,1770.0,SomMoCtx,0.100971072612255,0.10244792397517206,0.020404006432012747,Waksman
90,LS,0.047228585604323706,0.06432069058859095,-0.0006051036931038408,3248.0,FrMoCtx,0.11775163817772864,0.05514645287122546,0.021070258984690365,Robbins
