,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
36,LS,0.04383820784644789,0.3564400174263811,0.001615944920486095,1485.0,LS,0.24561508162431278,0.2407307491469841,0.039649291120853934,Krebs
37,FrMoCtx,0.10462141175381871,0.3563707808355068,0.0009595383911649475,1485.0,FrMoCtx,0.14936541899682107,0.3209803409897979,0.03744868822770677,Krebs
38,CP,0.12101163472758254,0.20358810945913883,-0.0007817514023283916,1540.0,CP,0.1613728439604941,0.1698186074139733,0.03833591621173677,Krebs
39,MB,0.1787441502305991,1.0509180098969462,0.0012489782681618289,1540.0,MB,0.1970162512410304,0.7017242973188962,0.03922232952244947,Krebs
40,SC,0.24187106944238373,0.9460210440258846,0.0011150630078764164,861.0,SC,0.2327569120378214,0.7503579652916775,0.04117282796788233,Krebs
41,V1,0.13106564817229277,0.31123443018860325,0.001397657461968745,1770.0,V1,0.15282075787152788,0.3439505277398121,0.03938186106557368,Krebs
42,TH,0.1802447150226385,0.8016385439929333,-0.0009299713068326462,1711.0,TH,0.2175799925563241,0.5614536188574936,0.03846118784160904,Krebs
43,HPF,0.20765552013733254,0.7683975828218773,-0.0002355126095539081,1596.0,HPF,0.24213871189466502,0.6032655509002711,0.037470092562312894,Krebs
44,SomMoCtx,0.11640113800254047,0.5726407322543671,0.0003883828882299917,1485.0,SomMoCtx,0.19359789577039124,0.49268248942070003,0.038162844645870476,Krebs
45,LS,0.039924420652185884,0.17221382312991312,0.00016086724279804225,3770.0,FrMoCtx,0.13592751028277503,0.16092229802154953,0.02858200506325131,Waksman
46,LS,0.09711292872773705,0.20611788464557762,-0.00171708664590609,754.0,CP,0.2460003817877582,0.1600303152637441,0.02750995941440158,Waksman
47,LS,-0.03118685722737525,0.3210336336169573,-0.0001498935617619744,3596.0,MB,0.1863156469628561,0.21408091730384782,0.028028708705739622,Waksman
48,LS,0.004523655872357785,0.2616640381129149,-0.0014270836231772847,3190.0,SC,0.17782369952291827,0.2530309009828967,0.027838852425856958,Waksman
49,LS,0.031212941965374632,0.23459389705471229,0.000408022562215657,3828.0,V1,0.13770955068887533,0.21514537948158788,0.028083890372384162,Waksman
50,LS,0.014039974034071173,0.29361159715240903,0.0009639351568469911,3306.0,TH,0.20224519528330662,0.23106081473430537,0.02852499586352642,Waksman
51,LS,0.016843042943305794,0.3805280177292399,-0.0001107324577731287,3248.0,HPF,0.21272542140284745,0.3014063818019805,0.027720230476629117,Waksman
52,LS,0.04164646144444658,0.21268975655410927,-0.0003877887742742294,3654.0,SomMoCtx,0.12433924011951969,0.2178352173276771,0.02838017473598164,Waksman
53,FrMoCtx,0.03622036722661569,0.1488470886587585,0.00030122149784996124,845.0,CP,0.12869073936084224,0.1546828720171749,0.028272153947730336,Waksman
54,FrMoCtx,0.0045082700855001686,0.26679696596871694,-2.7390505287025515e-05,4030.0,MB,0.1276504093092161,0.2624896093239267,0.028506683146118084,Waksman
55,FrMoCtx,0.0066236856747221755,0.2117517831427329,0.0007141476728754881,3575.0,SC,0.10644541014729487,0.26181031793342785,0.027658135431234836,Waksman
56,FrMoCtx,0.023468105143265056,0.19455616507125498,0.0008173574615953837,4290.0,V1,0.09533468839286607,0.23372289361314333,0.02793878468859915,Waksman
57,FrMoCtx,0.018096990029354727,0.23762277190494238,0.0007798036287515285,3705.0,TH,0.125834411515041,0.2553141116742612,0.02833346860381395,Waksman
58,FrMoCtx,0.017447063159727706,0.3064159429515749,-0.0005419253181183024,3640.0,HPF,0.1282157247498417,0.330032801952595,0.02767022702258116,Waksman
59,FrMoCtx,0.03189767462379724,0.17711460978643623,-0.0010674366771766803,4095.0,SomMoCtx,0.10146396551835521,0.23000243809214166,0.028052058559881257,Waksman
60,CP,-0.05482189476266587,0.27455428055371983,-0.0005100414727966419,806.0,MB,0.1715469325956592,0.21754204237351982,0.027689995373063225,Waksman
61,CP,0.004584379994509063,0.2307194778188001,-0.0017379340645340528,715.0,SC,0.1775116463218256,0.25051142419545636,0.027476873179722097,Waksman
62,CP,0.03910694492477988,0.20721410207397406,0.00014026922175930923,858.0,V1,0.13277208919620034,0.21189272149000218,0.027908051731223574,Waksman
63,CP,0.0042898880851388625,0.260670956827306,-0.000893627300672058,741.0,TH,0.19981907064691512,0.23061803867988942,0.028720900280163962,Waksman
64,CP,0.010640761172735038,0.3395464514651745,-0.001795906785340509,728.0,HPF,0.21671075335883583,0.30598400549808824,0.0286871930103434,Waksman
65,CP,0.03401634314385236,0.18284266533463783,0.0005666173394800228,819.0,SomMoCtx,0.11397521653125163,0.2101915380201378,0.028552720067307334,Waksman
66,MB,0.04728889030971589,0.41893681457691717,-0.001177223129186997,3410.0,SC,0.17911954730896498,0.4035602979139435,0.028424097400032967,Waksman
67,MB,0.02498458727817834,0.38305552696463985,-0.00015687718347066264,4092.0,V1,0.16818130242312612,0.3571576897037721,0.02855701359380488,Waksman
