,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
0,LS,0.003706055444794434,0.006787637007157225,-0.00014555698264373868,3135.0,FrMoCtx,0.06296078610034761,0.01169521366795037,0.012310103749473637,Krebs
1,LS,0.013433680729947014,0.005666741898349005,0.0002286397540878992,3249.0,CP,0.05926204974658877,0.009571264266160402,0.012189715887984768,Krebs
2,LS,0.01083138686498915,0.009264650906264564,-3.986981847617894e-05,3249.0,MB,0.06605596578467578,0.011570177347691422,0.012615240575382738,Krebs
3,LS,0.015558326332212796,0.011657181648915708,-0.0002293287728529113,2394.0,SC,0.08914058573559695,0.018593349082604557,0.012437051754050068,Krebs
4,LS,0.012189374798705136,0.006391607376464927,0.00013156131190227163,3306.0,V1,0.06044150292520995,0.009107780701943789,0.012558617109797604,Krebs
5,LS,0.014449513159223455,0.011491814717601096,-0.0002499265973838516,3192.0,TH,0.08058364010248131,0.014463029626911636,0.012185509150911244,Krebs
6,LS,0.02373241267008975,0.012338629781887454,-0.00019230866247227035,3306.0,HPF,0.08898643250953926,0.01800307042903554,0.012380951060442558,Krebs
7,LS,0.013824772239868286,0.008545732956171425,0.00035778640135661533,3135.0,SomMoCtx,0.07321601851047944,0.012119825492467725,0.01239380603358666,Krebs
8,FrMoCtx,0.018356733024341182,0.005702268364236286,0.000487792136904237,3135.0,CP,0.04586687429010696,0.00676467537363867,0.012032915128192174,Krebs
9,FrMoCtx,0.05158418931226665,0.01587935732558481,-4.760924637511766e-05,3135.0,MB,0.07969561698004075,0.019576396708304668,0.012376554340269182,Krebs
10,FrMoCtx,0.043741432346405845,0.013020979833525547,-0.00028170466447763266,2310.0,SC,0.07632767125507083,0.01823593315504618,0.012328089657125675,Krebs
11,FrMoCtx,0.020847794686544522,0.007502095039458069,0.00045318774511762013,3190.0,V1,0.05349992088063535,0.010445307273024583,0.012295652631083958,Krebs
12,FrMoCtx,0.017613198638756468,0.011316700532172867,9.249199539932513e-05,3080.0,TH,0.06870147201089431,0.014921161471664689,0.012569872089748631,Krebs
13,FrMoCtx,0.032975052418906955,0.011672036887900805,-0.00012850444146204798,3190.0,HPF,0.07303598963281208,0.016649891889941777,0.01244658408515728,Krebs
14,FrMoCtx,0.01928480046699979,0.008910602540417572,4.8375349501843275e-05,3025.0,SomMoCtx,0.06312796194834748,0.011450444273963486,0.012421764343447037,Krebs
15,CP,0.029868067232399396,0.008875984938698109,0.00017980253110121033,3249.0,MB,0.05574932484915643,0.010068006435828104,0.012309889112878376,Krebs
16,CP,0.038041091991863694,0.008999917149321966,-5.272528681297077e-05,2394.0,SC,0.06192627412294122,0.012171012377839012,0.012288819718948275,Krebs
17,CP,0.05457523754720421,0.009569574644476378,-0.00017770515230219126,3306.0,V1,0.06490779648205783,0.013784552705329476,0.012208878913561469,Krebs
18,CP,0.029482468033039912,0.009227498277740971,-0.00022276194904729437,3192.0,TH,0.06288307542206846,0.010777185728061486,0.012750817380353802,Krebs
19,CP,0.041670499491321365,0.009555345185325081,-0.00044700455499388384,3306.0,HPF,0.0663657875725198,0.011515517060402136,0.012408658764831593,Krebs
20,CP,0.024715019714215785,0.006422596845952599,-5.825497862232994e-05,3135.0,SomMoCtx,0.05213407099005338,0.007310765857320635,0.01229303832307713,Krebs
21,MB,0.08377998820670081,0.024754228404216674,0.00046464844321501337,2394.0,SC,0.09837017557000131,0.042311573077825675,0.012450071414468867,Krebs
22,MB,0.0335131261660875,0.012473655463734265,-0.00017095027762378974,3306.0,V1,0.060860147114245755,0.014812233721853611,0.012352045523498842,Krebs
23,MB,0.0746270971721738,0.023437844878995053,-0.00022637364920278575,3192.0,TH,0.09119307643776253,0.028101199186492763,0.012276346759210011,Krebs
24,MB,0.07496033830049403,0.022900419721221296,-1.8520215618555686e-05,3306.0,HPF,0.0990985417116087,0.026676559807117275,0.012162296745097619,Krebs
25,MB,0.03819411659435381,0.01408081663586597,0.0002803066047690913,3135.0,SomMoCtx,0.07267465652564523,0.016472902392177954,0.012284624489039973,Krebs
26,SC,0.052287006980805566,0.01304543413010974,-0.0003263607159779369,2436.0,V1,0.07083883404514844,0.018146537381743856,0.01243710887759929,Krebs
27,SC,0.0763313879537304,0.022110887298704775,-0.0001257651687801361,2352.0,TH,0.10151858956674197,0.02907503103964567,0.012481207032032999,Krebs
28,SC,0.10585910692928752,0.030231185489493547,9.472246172880161e-05,2436.0,HPF,0.12672295223181085,0.043933781474484214,0.012487122332567933,Krebs
29,SC,0.043813680610443495,0.014376295901736415,4.7833371238644434e-05,2310.0,SomMoCtx,0.08296408829722712,0.019332867600038103,0.01261391619286592,Krebs
30,V1,0.03643099560059872,0.013168632210566803,0.00024303613492340488,3248.0,TH,0.07255269169828013,0.015918218979366863,0.01250244421399625,Krebs
31,V1,0.0565276630728767,0.013724990315310234,0.0001146934163434345,3364.0,HPF,0.07666754298116121,0.018294284487443396,0.012420250333288963,Krebs
32,V1,0.038547736906834086,0.010114567618155244,0.0006249967426688635,3190.0,SomMoCtx,0.06835468360784785,0.012887364269207271,0.01260716730865615,Krebs
33,TH,0.07600662040859839,0.02268571668674583,0.0003689346100752964,3248.0,HPF,0.1047156788346954,0.027432945313240583,0.012390555210663236,Krebs
34,TH,0.03834468031651143,0.014968419778324455,4.471655552727981e-05,3080.0,SomMoCtx,0.08159593929034406,0.017195770487122536,0.012338129532869955,Krebs
35,HPF,0.047626038844304906,0.015014253035976761,-0.00018561862706125838,3190.0,SomMoCtx,0.08518112559361501,0.01829846820236358,0.012271491069697608,Krebs
36,LS,0.02973372919286399,0.016818164303520903,0.0001900169549528278,1596.0,LS,0.12211387116668175,0.027676731449903225,0.012585936896031123,Krebs
37,FrMoCtx,0.06153128951565828,0.015905305216335132,-0.0003906823479482857,1485.0,FrMoCtx,0.09313228306713262,0.02874886690400914,0.012040360972438102,Krebs
38,CP,0.0620749428906571,0.010765026309507673,-0.00029751612794567527,1596.0,CP,0.0778546157906094,0.015165725750403166,0.011801706155978978,Krebs
39,MB,0.09980140776050858,0.032048982790735044,-8.376482840231628e-06,1596.0,MB,0.11208432409042116,0.041102468244553936,0.012473488380621152,Krebs
