correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
rectified,0.005,Krebs,0,2,0.4084767619672667,0.40847676196726657,1,True,signal
rectified,0.005,Waksman,0,2,0.43974314733660846,0.4397431473366084,1,True,signal
rectified,0.005,Robbins,0,5,0.16038425847118246,0.15022412807916463,4,True,signal
rectified,0.01,Krebs,0,2,0.3875754016278966,0.3861810556846747,2,True,signal
rectified,0.01,Waksman,0,2,0.439885513285283,0.4398855132852829,1,True,signal
rectified,0.01,Robbins,0,6,0.1423526547399442,0.13491540671714305,2,True,signal
rectified,0.05,Krebs,0,4,0.27072093319504353,0.27072093319504353,1,True,signal
rectified,0.05,Waksman,0,2,0.43665363183457817,0.43665363183457817,1,True,signal
rectified,0.05,Robbins,0,6,0.16296680594286297,0.16034001627253675,2,True,signal
rectified,0.1,Krebs,0,3,0.33178944433276786,0.3293902939309229,2,True,signal
rectified,0.1,Waksman,0,2,0.4320705162907707,0.4320705162907707,1,True,signal
rectified,0.1,Robbins,0,5,0.14880300169246852,0.1475351595981775,2,True,signal
rectified,0.2,Krebs,0,2,0.3648629445164524,0.36486294451645235,1,True,signal
rectified,0.2,Waksman,0,2,0.43103157430810934,0.43103157430810934,1,True,signal
rectified,0.2,Robbins,0,5,0.17706283554843097,0.17415644767845212,3,True,signal
rectified,1.0,Krebs,0,2,0.2233254518784425,0.2233254518784425,1,True,signal
rectified,1.0,Waksman,0,2,0.42506755072091923,0.42506755072091923,1,True,signal
rectified,1.0,Robbins,0,4,0.26743864264081885,0.2602544013969566,4,True,signal
rectified,2.0,Krebs,0,1,0.35464597979997586,0.35464597979997586,1,True,signal
rectified,2.0,Waksman,0,2,0.4491206379996255,0.4491206379996255,1,True,signal
rectified,2.0,Robbins,0,2,0.37362560484868534,0.37362560484868523,1,True,signal
rectified,3.0,Krebs,0,1,0.283952223265992,0.283952223265992,1,True,signal
rectified,3.0,Waksman,0,1,0.49584339887884465,0.49584339887884465,1,True,signal
rectified,3.0,Robbins,0,2,0.5010516538100951,0.5010516538100951,1,True,signal
