2019-08-01T12:54:41.146046 INFO: Processing bin width 0.3...
2019-08-01T12:54:49.048339 INFO: Processing bin width 0.4...
2019-08-01T12:54:56.510379 INFO: Processing bin width 0.5...
2019-08-01T12:55:02.577159 INFO: Processing bin width 0.6...
2019-08-01T12:55:09.385101 INFO: Processing bin width 0.7...
2019-08-01T12:55:16.119786 INFO: Processing bin width 0.8...
2019-08-01T12:55:22.043684 INFO: Processing bin width 0.9...
2019-08-01T12:55:27.605337 INFO: Processing bin width 1.0...
2019-08-01T12:55:32.561202 INFO: Processing bin width 1.2...
2019-08-01T12:55:37.716086 INFO: Processing bin width 1.3...
2019-08-01T12:55:43.347676 INFO: Processing bin width 1.4...
2019-08-01T12:55:48.637626 INFO: Processing bin width 1.5...
2019-08-01T12:55:53.302481 INFO: Processing bin width 1.6...
2019-08-01T12:55:58.251608 INFO: Processing bin width 1.7...
2019-08-01T12:56:03.032398 INFO: Processing bin width 1.8...
2019-08-01T12:56:08.133723 INFO: Processing bin width 1.9...
2019-08-01T12:56:12.885482 INFO: Processing bin width 2.0...
2019-08-01T12:56:17.552004 INFO: Processing bin width 2.1...
2019-08-01T12:56:22.288683 INFO: Processing bin width 2.2...
2019-08-01T12:56:26.626775 INFO: Processing bin width 2.3...
2019-08-01T12:56:31.814254 INFO: Processing bin width 2.4...
2019-08-01T12:56:36.575856 INFO: Processing bin width 2.5...
2019-08-01T12:56:40.705864 INFO: Processing bin width 2.75...
2019-08-01T12:56:45.667263 INFO: Processing bin width 3.0...
2019-08-01T12:56:49.915275 INFO: Processing bin width 3.25...
2019-08-01T12:56:54.145338 INFO: Processing bin width 3.5...
2019-08-01T12:56:58.574934 INFO: Processing bin width 3.75...
2019-08-01T12:57:03.115431 INFO: Processing bin width 4.0...
2019-08-01T12:57:08.391446 INFO: /home/thomas/Eight_Probe/npy/Robbins_all_bins.npy saved.
2019-08-01T12:57:08.391529 INFO: Done.
