cell_id,r2_score,durbin_watson,num_svd_time_points,num_spike_count_time_points,num_time_points_used
1584,0.0040933069889437235,1.8712712542451564,98196,247902,98196
1544,0.0021921039881533932,1.9825986385736691,98196,247902,98196
1462,-0.002186181505079876,1.975523827131063,98196,247902,98196
1473,-0.0033559619492173898,2.0154268481496778,98196,247902,98196
1542,0.011235824917804504,1.824962539960574,98196,247902,98196
1528,-0.0011090819551051734,1.8981669440889741,98196,247902,98196
1862,0.0049962706547481694,2.0123955382830627,98196,247902,98196
1491,0.013662256714302656,1.8209417583698564,98196,247902,98196
1823,-2.4761158335495637e-05,1.9994641715598094,98196,247902,98196
2035,-6.117377832515203e-05,1.7506871961126846,98196,247902,98196
1560,-0.009985700199492076,1.9512629781859259,98196,247902,98196
1819,0.0007644559439647924,1.9844579427946243,98196,247902,98196
1858,-0.0018554529054615188,1.9683651052068332,98196,247902,98196
1513,0.004326259036035118,1.963677606534493,98196,247902,98196
1478,0.0013514811457935316,1.9420596080772383,98196,247902,98196
1848,0.0009816036697297692,1.9462065023878452,98196,247902,98196
1866,-0.00022477916644580986,1.8576457804390591,98196,247902,98196
1824,0.002170180547520162,2.0054004568356456,98196,247902,98196
1480,0.0030237212497173926,1.95085608683424,98196,247902,98196
1529,0.008067914513820496,1.8956090607344172,98196,247902,98196
1863,-0.0015924331084016252,1.7354054238366297,98196,247902,98196
1578,0.0008212877689650622,1.6139732957508541,98196,247902,98196
1468,0.006500517793523453,1.9134960227504352,98196,247902,98196
1537,0.002185715420116474,1.9588129229373314,98196,247902,98196
1539,-0.0009446863798081573,1.9993836397038425,98196,247902,98196
1481,-0.00027144223505382037,1.9759133657883163,98196,247902,98196
1496,0.00019545885226168735,1.936703893199864,98196,247902,98196
1583,-6.871783406259269e-05,1.5147119551811716,98196,247902,98196
1549,0.0010371468130172534,1.956154373800326,98196,247902,98196
1576,0.035021492175816626,1.9610710499544242,98196,247902,98196
2033,0.0007281413240911583,1.9900974925027133,98196,247902,98196
1569,-0.00408762683437458,1.7218568275093782,98196,247902,98196
1483,-0.0016296765530887658,1.9862056150133993,98196,247902,98196
1856,0.0005322289156148852,1.9279797838359058,98196,247902,98196
1484,0.00029888956961987567,1.9180805630887847,98196,247902,98196
1580,-0.0005729303436288191,1.658314348066714,98196,247902,98196
1500,-0.020919236283445164,1.9093555112643013,98196,247902,98196
1849,4.316984018382097e-05,1.9580842066711786,98196,247902,98196
1479,-0.0031623424264661804,1.8943516770170132,98196,247902,98196
1817,-0.0023517013154843447,1.9939874417490968,98196,247902,98196
1814,0.007464731013559933,1.92922452274501,98196,247902,98196
1504,-0.009028264174577139,1.8431544115171343,98196,247902,98196
1826,-0.0004288559969705119,1.9910572807198814,98196,247902,98196
1520,-0.0016897891918026264,2.0049883053593276,98196,247902,98196
2031,-0.0006731787364790964,1.942477555596385,98196,247902,98196
1469,-0.0034293280662416326,1.9959028731232817,98196,247902,98196
2088,0.0004896183292493195,1.8647788937803311,98196,247902,98196
1574,-0.013801810633482736,1.8430822047753526,98196,247902,98196
2027,-0.0017968166218396142,1.973814906871865,98196,247902,98196
1532,0.004771934003221956,1.8816411905371777,98196,247902,98196
1579,0.002351069737739686,1.5848511859136745,98196,247902,98196
1485,0.000606002596169386,1.9574158738586642,98196,247902,98196
1487,-0.001899173130030407,1.988730108594239,98196,247902,98196
1501,0.02292579199624256,2.0023545799788245,98196,247902,98196
1505,0.0041507418051222045,2.0031634512082883,98196,247902,98196
1805,-0.00019065641379900633,1.9363582769424967,98196,247902,98196
2053,-0.0003738809426534484,1.8367331097761326,98196,247902,98196
2080,-0.00047266978092674883,1.9683374558736395,98196,247902,98196
1962,0.00027775885115399745,1.9666525533612413,98196,247902,98196
1740,0.00996892661457427,1.524140882520392,98196,247902,98196
1705,-0.0003396851309591664,1.3543210889180306,98196,247902,98196
2074,-0.000981312008729196,1.9076465413853552,98196,247902,98196
1998,0.0010595245627230687,1.8836012548302077,98196,247902,98196
2152,0.0031324525912146406,1.9535388170902181,98196,247902,98196
1869,-0.0010315025785747611,1.8632867033619396,98196,247902,98196
1777,-0.0033147322537621093,1.939505539529267,98196,247902,98196
2069,-0.006910770312887671,1.9868780017767647,98196,247902,98196
2083,-0.00031818172000619427,1.855666608724524,98196,247902,98196
2123,-0.04312381629664541,1.7007737935113836,98196,247902,98196
1676,-0.0022038519587870287,1.988785021613106,98196,247902,98196
1648,-0.002136094851840964,1.9152775011110188,98196,247902,98196
1773,0.002790502172586029,1.7623960421745866,98196,247902,98196
1801,0.007268553757999174,1.856014362001549,98196,247902,98196
1902,-0.0004923201927558019,2.0014234994558104,98196,247902,98196
2117,-0.007027608800697749,1.8375597810125819,98196,247902,98196
1990,-0.0012322417706978062,1.9091337692358412,98196,247902,98196
1792,0.0019251883023368999,1.195130524079372,98196,247902,98196
1701,-0.0005794183195741986,1.9535940405203507,98196,247902,98196
1670,0.0020171888017954664,1.9036440733265136,98196,247902,98196
2009,0.005105527064015902,1.755641028719833,98196,247902,98196
2153,0.0018249337070932459,1.9455704342542717,98196,247902,98196
1771,-0.00022731423106137072,1.8341459469076211,98196,247902,98196
2099,-0.00032865862040609706,1.9773680164647671,98196,247902,98196
1768,0.0010330081254947832,1.7155732379095743,98196,247902,98196
1952,-0.011727666011855709,1.9263178235451142,98196,247902,98196
1994,0.0007160934604936164,1.8865388853988345,98196,247902,98196
2139,-0.0034160803796081662,1.4859291215183528,98196,247902,98196
2067,0.00013439580971563725,1.971194981964228,98196,247902,98196
1781,0.001828008372801615,1.8522993462566537,98196,247902,98196
1729,0.026826460713363698,1.83915741650411,98196,247902,98196
2105,0.0007432444118937731,1.915393301501277,98196,247902,98196
1671,0.0021569351272444637,1.9643654625535945,98196,247902,98196
2121,-2.1630651856563432e-05,1.7755287649175504,98196,247902,98196
1668,-0.0003751950564385709,1.9213738812305463,98196,247902,98196
1612,-0.0005655583558850097,1.9467591795392203,98196,247902,98196
1963,-0.004791300500452067,1.8908959225884368,98196,247902,98196
1758,-0.014342924183671224,1.841366138131989,98196,247902,98196
1733,0.0032460634638855623,1.9876512221793794,98196,247902,98196
2137,-0.0014926289494272549,1.9068494987357492,98196,247902,98196
1713,-0.004592213614908358,1.9484625209969175,98196,247902,98196
1690,0.0022184493455770227,1.8736566793911276,98196,247902,98196
1989,0.0002238908823781749,2.040241590093273,98196,247902,98196
1900,0.0007676992638281366,1.945282404856765,98196,247902,98196
1978,0.0010061659408368007,1.9809440831594014,98196,247902,98196
1905,-0.00018965994526043417,1.9487984261056026,98196,247902,98196
1732,-0.0015846055393680114,1.9389766906293713,98196,247902,98196
1808,-0.00025541538928730567,1.9198212882823191,98196,247902,98196
1802,-0.0004886078489025891,1.9767609471301995,98196,247902,98196
1675,0.003591944193719998,1.83740607778739,98196,247902,98196
2002,0.0012663812555919751,1.8786677724052805,98196,247902,98196
2110,0.0029814900885009044,1.9118639080383284,98196,247902,98196
2111,0.0025795852280829923,1.9200354648272737,98196,247902,98196
2112,-0.0012187376207841716,1.999139497446159,98196,247902,98196
2113,-0.003179264585231767,1.734472854501442,98196,247902,98196
2114,0.012731916162186385,1.895733771916161,98196,247902,98196
