bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,rectified,total,19,2.1932941091831615,2.353256278686769,3.4720820542721436,1.0744683335977872,0.41630025134933446,0.4565878962394153,2.3976137206743564,0.6905406275535072,0.5434121037605847,0.1561457013202038
0.005,Waksman,rectified,total,21,2.145413588626124,2.2509605398648436,3.708772990802819,0.6876011376881489,0.2439799427923654,0.3054700984360371,3.0211718531146703,0.8146014492142568,0.6945299015639629,0.06768596768058936
0.005,Robbins,rectified,total,8,2.169734380149849,1.716709758266868,3.530174420696955,0.35626971771976196,0.1394435554226931,0.16419969235826776,3.173904702977193,0.8990787209745221,0.8358003076417322,0.0528960507293777
0.01,Krebs,rectified,total,19,2.193175398663444,2.3565311473620976,3.4266254304773023,1.1230811155482396,0.4405544492242955,0.4765823345069796,2.303544314929063,0.672248648609427,0.5234176654930204,0.2049283855010074
0.01,Waksman,rectified,total,20,2.145357364078959,2.030952186607227,3.577183706784198,0.5991258439019881,0.21780997419023043,0.2792662210657868,2.97805786288221,0.8325146559384875,0.7207337789342132,0.055809185219916055
0.01,Robbins,rectified,total,7,2.169721168364392,1.4187378868766258,3.2880465877155074,0.3004124675255112,0.11640393080061434,0.13845671596225062,2.987634120189996,0.9086349723121673,0.8615432840377494,0.0386346277634571
0.05,Krebs,rectified,total,19,2.193175398663444,2.593791642576804,3.6415588802096823,1.1454081610305649,0.40370061656297035,0.4415960566102599,2.4961507191791172,0.6854621334683426,0.5584039433897401,0.2000617578606191
0.05,Waksman,rectified,total,17,2.145357364078959,2.1485187007175015,3.6404599750970794,0.6534160896993811,0.25434461935009767,0.3041239945834178,2.987043885397698,0.8205127664720564,0.6958760054165822,0.07820364473210871
0.05,Robbins,rectified,total,14,2.1696044707022595,2.0474458334674686,3.7724075255889513,0.444642778580776,0.1587066858714917,0.20494186133238088,3.3277647470081755,0.8821328884632214,0.7950581386676191,0.03960473176255324
0.1,Krebs,rectified,total,17,2.193175398663444,2.386057613958821,3.6135647744855084,0.965668238136756,0.3660297574556697,0.4047128755347069,2.6478965363487523,0.7327657594641441,0.5952871244652931,0.1560717820244905
0.1,Waksman,rectified,total,10,2.145357364078959,1.83859914167783,3.510632140033214,0.47332436572357484,0.19057328235208656,0.22062728273095036,3.0373077743096393,0.8651740350901315,0.7793727172690497,0.06627026612903669
0.1,Robbins,rectified,total,12,2.1696044707022595,1.9334239731138572,3.7203563655618033,0.3826720782543125,0.13663291531314664,0.17637872866774143,3.337684287307491,0.8971410153617029,0.8236212713322586,0.04018653814322075
0.2,Krebs,rectified,total,16,2.193175398663444,2.542004737875372,3.8192350989529396,0.9159450375858761,0.3241251673974573,0.3603238908010182,2.9032900613670636,0.7601757907396205,0.6396761091989818,0.1883448968050114
0.2,Waksman,rectified,total,11,2.145357364078959,2.033033055733422,3.7455374696835095,0.43285295012887165,0.1674523017211742,0.20176263282583848,3.312684519554638,0.8844350233758449,0.7982373671741615,0.0571838332753841
0.2,Robbins,rectified,total,18,2.1696044707022595,2.5526686127359954,4.305179472178822,0.4170936112594341,0.10896244808822836,0.16339512664449843,3.888085860919388,0.9031181826553805,0.8366048733555016,0.03785030939016427
1.0,Krebs,rectified,total,10,2.1932941091831615,2.2397498406246616,3.88273095410229,0.5503129957055329,0.21878475765436514,0.24570288418998248,3.332417958396757,0.8582665133868982,0.7542971158100176,0.1415052958443357
1.0,Waksman,rectified,total,8,2.145357364078959,1.7769470718155922,3.6100720372027144,0.31223239869183633,0.12119211578160172,0.14553864261485566,3.297839638510878,0.9135107567178157,0.8544613573851443,0.05699470081791108
1.0,Robbins,rectified,total,10,2.1702168097439984,2.1275111082128775,4.077905729007199,0.2198221889496773,0.06737417112650962,0.10129042774099967,3.8580835400575215,0.9460943426460241,0.8987095722590004,0.026124867977728325
2.0,Krebs,rectified,total,9,2.1932941091831615,2.0590335707134737,3.866491550865379,0.38583612903125647,0.14922267651925045,0.17591627471016716,3.4806554218341224,0.9002102748821731,0.8240837252898329,0.08347266819660505
2.0,Waksman,rectified,total,7,2.145357364078959,1.9087436848017407,3.7891960560066535,0.26490499287404656,0.10220705127578257,0.1234782592912091,3.524291063132607,0.9300893939087375,0.8765217407087909,0.05470163450051456
2.0,Robbins,rectified,total,16,2.170553601635089,2.414763608359792,4.319378104471751,0.26593910552312905,0.055898805949137466,0.1101304925262502,4.0534389989486215,0.9384311585855823,0.8898695074737498,0.02140715818538519
3.0,Krebs,rectified,total,8,2.193175398663444,1.9888429864436916,3.877426751113049,0.3045916339940858,0.11476440018035697,0.13888156605245017,3.572835117118963,0.9214449031418452,0.8611184339475498,0.08196629592264978
3.0,Waksman,rectified,total,8,2.145357364078959,1.9070950600600949,3.831573963242574,0.2208784608964801,0.0767792889435065,0.10295648855280914,3.610695502346094,0.9423530739546117,0.8970435114471909,0.04704055850195027
3.0,Robbins,rectified,total,10,2.1687255554595257,2.1085957988558217,4.143571872982032,0.13374948133331785,0.02542602919932281,0.06167192570614496,4.009822391648714,0.9677212112077926,0.938328074293855,0.011249773211204617
