bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,absolute,conditional,21,2.193273740206916,2.4578722329013005,3.5140954480895763,1.1370505250186391,0.4203067877936458,0.4626157982493873,2.377044923070937,0.6764315193439632,0.5373842017506127,0.1655134683377388
0.005,Waksman,absolute,conditional,29,2.1460818217440805,2.834611044953846,4.177650411408023,0.803042455289903,0.21280643109014163,0.2832989932496994,3.37460795611812,0.8077765307750469,0.7167010067503006,0.06426871149131544
0.005,Robbins,absolute,conditional,14,2.1714121056609974,2.2381080376798215,3.942430278920657,0.4670898644201615,0.15977695970266653,0.20869853311656006,3.475340414500496,0.8815223526164578,0.7913014668834399,0.06267333985272704
0.01,Krebs,absolute,conditional,24,2.1932236901682947,2.550879743965616,3.5516196403187115,1.1924837938151993,0.41930109003369026,0.4674794241618601,2.359135846503512,0.6642422571725081,0.5325205758381399,0.14890955109886014
0.01,Waksman,absolute,conditional,31,2.1453329809064914,3.139828314258949,4.4001233547861585,0.8850379403792803,0.212184039714109,0.28187462873687846,3.515085414406878,0.798860652527708,0.7181253712631215,0.06860570907083323
0.01,Robbins,absolute,conditional,18,2.1695015091700185,2.412459906983625,4.148142612371927,0.433818803781716,0.12049173701263068,0.1798242542916012,3.7143238085902115,0.895418541665409,0.8201757457083988,0.040689613711924644
0.05,Krebs,absolute,conditional,24,2.193175398663444,2.708575403303838,3.718544803752734,1.1832059982145475,0.38862364796343907,0.4368370165258493,2.5353388055381867,0.6818094010806424,0.5631629834741507,0.1780480235498014
0.05,Waksman,absolute,conditional,31,2.145357364078959,2.993972915812645,4.27861536908292,0.8607149108086821,0.21589200883712856,0.28748253074128466,3.417900458274238,0.7988333055062231,0.7125174692587153,0.08081180472185556
0.05,Robbins,absolute,conditional,24,2.1696044707022595,2.5791097325005037,4.1093293299935265,0.6393848732092353,0.18016823768677515,0.24790913901493353,3.469944456784291,0.8444065145758852,0.7520908609850665,0.05199515921083276
0.1,Krebs,absolute,conditional,20,2.193175398663444,2.7023522749157607,3.8495135265334346,1.0460141470457704,0.34460888937004536,0.38707542194082645,2.803499379487664,0.7282736793010499,0.6129245780591736,0.17289644340662608
0.1,Waksman,absolute,conditional,27,2.145357364078959,2.8135607744348987,4.141530023180387,0.8173881153334697,0.22499662838169474,0.29051731270942294,3.324141907846917,0.8026361970676295,0.7094826872905771,0.08224319949541033
0.1,Robbins,absolute,conditional,26,2.1696044707022595,2.734856598171096,4.290300270220117,0.6141607986532389,0.151392614866437,0.2245678252614605,3.676139471566878,0.8568489942495963,0.7754321747385395,0.03687464087636617
0.2,Krebs,absolute,conditional,20,2.193175398663444,2.7655309231951497,3.9195811698680525,1.0391251519905416,0.333726010021917,0.37574164992159653,2.8804560178775107,0.7348887274031062,0.6242583500784035,0.21059395571541348
0.2,Waksman,absolute,conditional,27,2.145357364078959,2.812633358335052,4.16717525653985,0.790815465874162,0.21416458632858693,0.2811655004839621,3.3763597906656884,0.8102274521252548,0.7188344995160378,0.06829051594034923
0.2,Robbins,absolute,conditional,25,2.1696044707022595,2.722781178402908,4.356270545965177,0.5361151031399904,0.12438311693472409,0.19689981236555246,3.820155442825187,0.8769325510242825,0.8031001876344476,0.03374199562941499
1.0,Krebs,absolute,conditional,15,2.193175398663444,2.560050427156137,4.102577363457916,0.6506484623616645,0.21565240416226195,0.25415454924629965,3.451928901096252,0.8414049499329231,0.7458454507537003,0.12791471631842297
1.0,Waksman,absolute,conditional,19,2.145357364078959,2.635957621572339,4.226165979673008,0.5551490059782894,0.15823162384990466,0.21060619542401643,3.671016973694719,0.8686400371759079,0.7893938045759836,0.0602975513928332
1.0,Robbins,absolute,conditional,21,2.1696044707022595,2.6086464122180075,4.401954796011018,0.37629608690925004,0.07836122326733064,0.14424955607122833,4.0256587091017675,0.9145161401361405,0.8557504439287716,0.02678069682995611
2.0,Krebs,absolute,conditional,15,2.193175398663444,2.3582440650107745,4.09892908992183,0.4524903737523882,0.1458231522435222,0.1918759726637204,3.646438716169442,0.8896076599946701,0.8081240273362796,0.07353211890270064
2.0,Waksman,absolute,conditional,18,2.145357364078959,2.618175022130914,4.335409570291814,0.4281228159180596,0.11134163729458263,0.16351955552979552,3.9072867543737546,0.9012497414657774,0.8364804444702045,0.05650740668596195
2.0,Robbins,absolute,conditional,20,2.1696044707022595,2.6217060964836185,4.475412333605238,0.3158982335806395,0.057027098367014445,0.12049338177316678,4.159514100024598,0.929414719799424,0.8795066182268332,0.022488162898368275
3.0,Krebs,absolute,conditional,10,2.193175398663444,2.1583451102625975,4.050042377849829,0.30147813107621135,0.10556388577418784,0.1374619336237024,3.7485642467736175,0.9255617341870219,0.8625380663762976,0.06320858078995081
