bin_width,mouse_name,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,19,2.193276283652639,2.2530982560715516,3.4558443258432683,0.9905302138809238,0.3972020484313266,0.4396302785338749,2.4653141119623445,0.7133753374034804,0.5603697214661252,0.15365242811486554
0.005,Waksman,16,2.145136666620785,1.8212801850667208,3.4297273723661506,0.5366894793213554,0.20053604739444733,0.25018894491547594,2.893037893044795,0.8435183263703272,0.7498110550845241,0.054064456040396336
0.005,Robbins,7,2.169034254561753,1.3893821493439724,3.2497157822812706,0.30870062162445444,0.12043793818051343,0.14232169039065107,2.941015160656816,0.90500688604597,0.857678309609349,0.040743562310581107
0.01,Krebs,22,2.193117121169585,2.4135785520608417,3.564504111773561,1.0421915614568655,0.3853463184809191,0.43180345655913577,2.5223125503166957,0.7076194812023064,0.5681965434408642,0.16375063207068166
0.01,Waksman,18,2.1450473299193735,2.1683450471695527,3.7669744618106242,0.5464179152783023,0.19471283821836072,0.25199767721081495,3.220556546532322,0.8549451500619778,0.748002322789185,0.062055311044239586
0.01,Robbins,7,2.1686417794643384,1.2264200040888793,3.0186305329368346,0.3764312506163836,0.15230836938000242,0.17357926706980775,2.642199282320451,0.8752973421195231,0.8264207329301922,0.059401969435925635
0.05,Krebs,21,2.1931051219092135,2.7105092802146475,3.825707231813638,1.0779071703102225,0.3543076270641527,0.39767698940505464,2.7478000615034155,0.7182462993125527,0.6023230105949453,0.2085271143461851
0.05,Waksman,17,2.1450473299193735,1.9508059454637485,3.530898144200132,0.56495513118299,0.2105662408502238,0.2633765340759288,2.965943013017142,0.8399967633982907,0.7366234659240711,0.0651217525285901
0.05,Robbins,15,2.1687159583085585,2.281334075628505,3.9407306499307833,0.5093193840062802,0.17753907255725104,0.22325506353819016,3.431411265924503,0.8707550885226764,0.7767449364618099,0.05440781817547386
0.1,Krebs,17,2.1931051219092135,2.521099994193959,3.698037430600766,1.0161676855024062,0.3662993765707353,0.40306520480846425,2.6818697450983597,0.7252143320417056,0.5969347951915358,0.18281606554568178
0.1,Waksman,14,2.1450473299193735,1.9518958319791908,3.571690296202125,0.5252528656964398,0.2011380675287778,0.24486772779796082,3.046437430505685,0.8529399745955142,0.7551322722020392,0.0762437355614395
0.1,Robbins,15,2.1687159583085585,2.376205918756822,4.127561804841459,0.4173600722239208,0.12906220099593013,0.1756413738933343,3.7102017326175387,0.8988845977462107,0.8243586261066657,0.051944097220424514
0.2,Krebs,14,2.1931051219092135,2.399516102588093,3.6684363632604513,0.9241848612368546,0.35387458450856657,0.3851546819127566,2.7442515020235967,0.7480711753670839,0.6148453180872434,0.21713733535592353
0.2,Waksman,11,2.1450473299193735,2.0984646711709827,3.7086030890287147,0.5349089120616415,0.21716167038433193,0.24936928178724488,3.1736941769670732,0.8557653921919872,0.7506307182127552,0.10540420393969807
0.2,Robbins,16,2.1687159583085585,2.348150575207782,4.12252396473907,0.3943425687772691,0.11624000881790475,0.16793751343751656,3.728181395961801,0.9043443841321057,0.8320624865624835,0.03385794524608898
1.0,Krebs,11,2.193117121169585,2.2669205882549908,3.8923194301994903,0.5677182792250858,0.22100783098942287,0.2504358918289673,3.3246011509744045,0.854143964953054,0.7495641081710327,0.1530957070603689
1.0,Waksman,8,2.1450473299193735,1.8439273544920076,3.7208397843060004,0.26813490010538077,0.09982212709861707,0.1250018572389539,3.4527048842006196,0.9279369938914496,0.874998142761046,0.07248850949774488
1.0,Robbins,11,2.1687159583085585,2.116087844039927,4.083372933687212,0.20143086866127294,0.05415831558703237,0.0928802445933835,3.881942065025939,0.9506704697483057,0.9071197554066165,0.033366154743833434
2.0,Krebs,8,2.1930803138415134,2.0366591019628006,3.821269758620393,0.40846965718392086,0.16374084344370718,0.1862538524493999,3.4128001014364724,0.893106301573592,0.8137461475506,0.10569663874485773
2.0,Waksman,8,2.1450473299193735,1.9955113328305136,3.8742314009013046,0.26632726184858213,0.09901173030301513,0.12415915403535298,3.6079041390527227,0.9312567489420938,0.8758408459646471,0.054186064967265996
2.0,Robbins,6,2.1687159583085585,1.7525693147087382,3.7953486274156916,0.12593664560160528,0.039571728385440624,0.05806968179448763,3.6694119818140862,0.9668181613957932,0.9419303182055123,0.028423946167145546
3.0,Krebs,7,2.1930803138415134,1.9186484551980982,3.764509952947796,0.34721881609181626,0.13858345249390192,0.15832471519641236,3.41729113685598,0.9077652017309911,0.8416752848035877,0.09880948905715015
3.0,Waksman,8,2.1450473299193735,1.9388108594088354,3.8398011149195206,0.2440570744086886,0.08821134072940717,0.11377701135287399,3.595744040510832,0.9364401782528771,0.886222988647126,0.052731799974453805
3.0,Robbins,9,2.1691517483764424,2.0051453474257315,4.025925714821444,0.14837138098072922,0.037192855270055926,0.06840064605520643,3.8775543338407146,0.9631460211909773,0.9315993539447935,0.025689036963203994
